Rank,Title,Gross Earnings,Number of Theaters,Release Date,Distributor
93,The Shift,11275203,2450,Dec 1,Angel Studios
94,Saltburn,11010120,1566,Nov 17,Warner Bros.
95,Suzume,10932037,2170,Apr 14,Crunchyroll
96,Past Lives,10923569,906,Jun 2,A24
97,The Machine,10458331,2409,May 26,Sony Pictures Entertainment (SPE)
98,Whitney Houston: I Wanna Dance with Somebody,10451167,3625,Dec 23,TriStar Pictures
99,The Nightmare Before Christmas30th Anniversary Re-Release,10251956,2185,Oct 20,Walt Disney Studios Motion Pictures
100,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,10117806,1774,Mar 3,Crunchyroll
101,House Party,9002247,1400,Jan 13,Warner Bros.
102,Radical,8608300,534,Nov 3,Pantelion Films
103,Everything Everywhere All at Once,8410284,2220,Mar 25,A24
104,Anyone But You,8050000,3055,Dec 22,Columbia Pictures
105,Beau Is Afraid,7740323,2125,Apr 14,A24
106,The Hill,7665865,1703,Aug 25,Briarcliff Entertainment
107,Silent Night,7547896,1873,Dec 1,Lions Gate Films
108,Sisu,7265622,1006,Apr 28,Lions Gate Films
109,Star Wars: Episode VI - Return of the Jedi2023 Re-release,7259924,475,Apr 28,-
110,Coraline2023 Re-release (remastered),7149366,1469,Aug 14,-
111,Retribution,6937696,1750,Aug 25,Roadside Attractions
112,Journey to Bethlehem,6805964,2002,Nov 10,Affirm Films
113,The Iron Claw,6799075,2774,Dec 22,A24
114,Next Goal Wins,6713826,2240,Nov 17,Searchlight Pictures
115,Operation Fortune: Ruse de Guerre,6496125,2168,Mar 3,Lions Gate Films
116,BTS: Yet to Come in Cinemas,6350496,1210,Feb 1,Trafalgar Releasing
117,Salaar,6306000,802,Dec 22,-
118,Babylon,6268558,3351,Dec 23,Paramount Pictures
119,Love Again,6230837,2703,May 5,Screen Gems
120,Poor Things,5870031,800,Dec 8,Searchlight Pictures
121,The Boys in the Boat,5714382,2557,Dec 25,-
122,Dream Scenario,5591254,1578,Nov 10,A24
123,The Fabelmans,5541550,1962,Nov 11,Universal Pictures
124,The Chosen Season 3 Finale,5525069,1979,Feb 2,Fathom Events
125,Nefarious,5433685,933,Apr 14,Soli Deo Gloria Releasing
126,Big George Foreman,5426772,3054,Apr 28,Sony Pictures Entertainment (SPE)
127,Waitress: The Musical,5402148,1214,Dec 7,Bleecker Street Media
128,Tiger 3,5365263,779,Nov 11,Yash Raj Films USA Inc.
129,Women Talking,5321627,707,Dec 23,United Artists Releasing
130,Freelance,5314136,2057,Oct 27,Relativity Media
131,Infinity Pool,5078400,1835,Jan 27,Neon
